#cam_angle[deg]	polar_radius[mm]
278.5000	17.0000000
278.7500	17.0000000
279.0000	17.0000000
279.2500	17.0000000
279.5000	17.0000000
279.7500	17.0000000
280.0000	17.0000000
280.2500	17.0000000
280.5000	17.0000000
280.7500	17.0000000
281.0000	17.0000000
281.2500	17.0000000
281.5000	17.0000000
281.7500	17.0000000
282.0000	17.0000000
282.2500	17.0000000
282.5000	17.0000000
282.7500	17.0000000
283.0000	17.0000000
283.2500	17.0000000
283.5000	17.0000000
283.7500	17.0000000
284.0000	17.0000000
284.2500	17.0000000
284.5000	17.0000000
284.7500	17.0000000
285.0000	17.0000000
285.2500	17.0000000
285.5000	17.0000000
285.7500	17.0000000
286.0000	17.0000000
286.2500	17.0000000
286.5000	17.0000000
286.7500	17.0000000
287.0000	17.0000000
287.2500	17.0000000
287.5000	17.0000000
287.7500	17.0000000
288.0000	17.0000000
288.2500	17.0000000
288.5000	17.0000000
288.7500	17.0000000
289.0000	17.0000000
289.2500	17.0000000
289.5000	17.0000000
289.7500	17.0000000
290.0000	17.0000000
290.2500	17.0000000
290.5000	17.0000000
290.7500	17.0000000
291.0000	17.0000000
291.2500	17.0000000
291.5000	17.0000000
291.7500	17.0000000
292.0000	17.0000000
292.2500	17.0000000
292.5000	17.0000000
292.7500	17.0000000
293.0000	17.0000000
293.2500	17.0000000
293.5000	17.0000000
293.7500	17.0000000
294.0000	17.0000000
294.2500	17.0000000
294.5000	17.0000000
294.7500	17.0000000
295.0000	17.0000000
295.2500	17.0000000
295.5000	17.0000000
295.7500	17.0000000
296.0000	17.0000000
296.2500	17.0000000
296.5000	17.0000000
296.7500	17.0000000
297.0000	17.0000000
297.2500	17.0000000
297.5000	17.0000000
297.7500	17.0000000
298.0000	17.0000000
298.2500	17.0000000
298.5000	17.0000000
298.7500	17.0000000
299.0000	17.0000000
299.2500	17.0000000
299.5000	17.0000000
299.7500	17.0000000
300.0000	17.0000000
300.2500	17.0000000
300.5000	17.0000000
300.7500	17.0000000
301.0000	17.0000000
301.2500	17.0000000
301.5000	17.0000000
301.7500	17.0000000
302.0000	17.0000000
302.2500	17.0000000
302.5000	17.0000000
302.7500	17.0000000
303.0000	17.0000000
303.2500	17.0000000
303.5000	17.0000000
303.7500	17.0000000
304.0000	17.0000000
304.2500	17.0000000
304.5000	17.0000000
304.7500	17.0000000
305.0000	17.0000000
305.2500	17.0000000
305.5000	17.0000000
305.7500	17.0000000
306.0000	17.0000000
306.2500	17.0000000
306.5000	17.0000000
306.7500	17.0000000
307.0000	17.0000000
307.2500	17.0000000
307.5000	17.0000000
307.7500	17.0000000
308.0000	17.0000000
308.2500	17.0000000
308.5000	17.0000000
308.7500	17.0000000
309.0000	17.0000000
309.2500	17.0000000
309.5000	17.0000000
309.7500	17.0000000
310.0000	17.0000000
310.2500	17.0000000
310.5000	17.0000000
310.7500	17.0000000
311.0000	17.0000000
311.2500	17.0000000
311.5000	17.0000000
311.7500	17.0000000
312.0000	17.0000000
312.2500	17.0000000
312.5000	17.0000000
312.7500	17.0000000
313.0000	17.0000000
313.2500	17.0000000
313.5000	17.0000000
313.7500	17.0000000
314.0000	17.0000000
314.2500	17.0000000
314.5000	17.0000000
314.7500	17.0000000
315.0000	17.0000000
